"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM358";;;
2;"C2";"C_0603_1608Metric";1;"100nF";;;
3;"R4";"R_0805_2012Metric";1;"39k";;;
4;"Q5,Q6";"SOT-23";2;"BC817";;;
5;"C1";"CP_Elec_6.3x5.4";1;"100uF 16V";;;
6;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
7;"R3";"R_0805_2012Metric";1;"68k";;;
8;"Q4,Q2";"TO-220-3_Horizontal_TabDown";2;"IRF540N";;;
9;"D1,D4,D2,D3";"D_SMA";4;"B120-E3";;;
10;"C3";"CP_Elec_6.3x5.4";1;"10uF 16V";;;
11;"R13,R14,R10,R9";"R_0805_2012Metric";4;"100k";;;
12;"J1";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Conn_01x04_Pin";;;
13;"R15,R2,R11";"R_0805_2012Metric";3;"1k";;;
14;"U2,U4";"SO-4_4.4x3.6mm_P2.54mm";2;"PC817";;;
15;"U1";"TO-252-2";1;"L7805";;;
16;"R6,R5";"R_0805_2012Metric";2;"R";;;
17;"Q3,Q1";"TO-220-3_Horizontal_TabDown";2;"IRF9540N";;;
18;"R1,R16";"R_0805_2012Metric";2;"100";;;
19;"J3";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
20;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"R_Potentiometer_Trim_US";;;
21;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
