"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM358";;;
2;"C2";"C_0603_1608Metric";1;"100nF";;;
3;"R4,R8";"R_0805_2012Metric";2;"39k";;;
4;"C1";"CP_Elec_6.3x5.4";1;"100uF 16V";;;
5;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
6;"R3,R7";"R_0805_2012Metric";2;"68k";;;
7;"Q2,Q1";"TO-220-3_Horizontal_TabDown";2;"IRF540N";;;
8;"C3";"CP_Elec_6.3x5.4";1;"10uF 16V";;;
9;"R14,R9";"R_0805_2012Metric";2;"100k";;;
10;"J1";"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal";1;"Conn_01x06_Pin";;;
11;"R15,R2,R12,R11";"R_0805_2012Metric";4;"1k";;;
12;"RV2,RV1";"Potentiometer_Bourns_3296W_Vertical";2;"R_Potentiometer_Trim_US";;;
13;"D2,D1";"D_SMC";2;"B120-E3";;;
14;"U2,U4";"SO-4_4.4x3.6mm_P2.54mm";2;"PC817";;;
15;"U1";"TO-252-2";1;"L7805";;;
16;"R6,R5";"R_0805_2012Metric";2;"R";;;
17;"R1,R16";"R_0805_2012Metric";2;"100";;;
18;"D5";"D_SOD-123";1;"B120-E3";;;
19;"J3";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
20;"J4,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
